,Unnamed: 0,Delivery_person_Age,Delivery_person_Ratings,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),distance
0,26250,20.0,4.6,Sandstorms,Medium,2,Drinks,electric_scooter,1.0,No,Urban,27,24.543793770239432
1,43069,31.0,4.9,Windy,Low,1,Snack,motorcycle,1.0,No,Metropolitian,22,33.76006676275385
2,40425,31.0,4.0,Sandstorms,Medium,0,Meal,motorcycle,,No,Metropolitian,38,12.460481930217847
3,4713,31.0,4.5,Sandstorms,Jam,1,Snack,scooter,1.0,No,Metropolitian,31,20.85880953494587
4,15324,31.0,4.2,Windy,Jam,0,Buffet,motorcycle,0.0,No,Urban,39,11.49127480055898
5,29423,27.0,4.7,Windy,Medium,0,Snack,motorcycle,0.0,No,Urban,23,13.807311534118405
6,25850,29.0,4.6,Sandstorms,Jam,2,Drinks,motorcycle,1.0,No,Metropolitian,27,33.509148073204976
7,35645,28.0,4.6,Cloudy,Jam,0,Buffet,motorcycle,1.0,Yes,Metropolitian,47,19.093519000332957
8,913,29.0,5.0,Fog,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,48,23.34290882838135
9,19864,36.0,4.6,Stormy,Jam,2,Snack,scooter,1.0,No,Urban,30,16.364668403511057
10,2685,27.0,5.0,Fog,High,0,Snack,motorcycle,1.0,No,Metropolitian,25,5.456574313934663
11,16135,38.0,4.1,Fog,Low,2,Snack,motorcycle,1.0,No,Metropolitian,36,35.30651687521344
12,774,32.0,5.0,Sandstorms,Jam,1,Meal,scooter,0.0,No,Metropolitian,25,33.74863278940343
13,14938,22.0,4.9,Cloudy,Low,2,Snack,electric_scooter,1.0,No,Urban,18,2.6063860804215353
14,37251,36.0,4.7,Sunny,Medium,2,Drinks,scooter,1.0,No,Metropolitian,24,29.87850821120115
15,4505,21.0,4.9,Stormy,Jam,2,Drinks,scooter,1.0,No,Metropolitian,21,29.998504262864365
16,43549,38.0,4.0,Stormy,Low,0,Meal,motorcycle,0.0,No,Metropolitian,31,2.830560695427386
17,42427,,,Stormy,High,2,Meal,scooter,1.0,No,Urban,15,4.983542226779522
18,1431,24.0,4.7,Windy,High,1,Buffet,scooter,1.0,No,Metropolitian,27,10.377869169001132
19,22619,28.0,4.7,Sandstorms,Low,1,Meal,motorcycle,0.0,No,Urban,12,12.47366363110089
20,25966,38.0,5.0,Fog,Low,2,Meal,motorcycle,1.0,No,Metropolitian,19,2.6076934000578875
21,1531,34.0,4.8,Sandstorms,Jam,2,Snack,electric_scooter,1.0,No,Metropolitian,25,12.883948961533015
